Stock NO,certificate number,LAB,SHAPE,SIZE,COLOR,CLARITY,CUT,POLISH,SYMMETRY,FLOUR.,DISCOUNT,MEESUREMENT,DEPTH,TABLE,image video link,,
A-67,63013774278,GIA,ROUND,0.75,F,VS2,EX,EX,EX,MEDIUM,-43,5.79*5.81*3.61,62.2,58,https://s3.amazonaws.com/elanstars/index.html?d=A-67,,
AS1,341808172,IGI,ROUND,3.01,N,SI1,EX,EX,EX,NONE,-45,9.17*9.24*5.73,62.3,56.5,https://s3.amazonaws.com/elanstars/index.html?d=AS1,,
JD-Y-39,1319632064,GIA,ROUND,0.57,G,VVS2,EX,EX,EX,STRONG,-44,5.25-5.29x3.33,63.2,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-39,,
JD-Y-45,341807915,IGI,ROUND,0.50,I,I1,VG,EX,VG,NONE,-46,4.97-5.00x3.16,63.4,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-45,,
JD-Y-50,1319639445,GIA,ROUND,0.30,J,VS1,EX,EX,VG,NONE,-33,4.29-4.30x2.66,61.9,54,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-50,,
JD-Y-47,341807916,IGI,ROUND,0.45,"K, FAINT BROWN ",VS2,VG,EX,GD,None,-50,4.77-4.81x3.06,63.8,55.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-47,,
JD-Y-48,6312644502,GIA,ROUND,0.30,J,SI1,FAIR,VG,GD,NONE,-40,3.95-4.03x2.74,68.8,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-48,,
PPS-I01-B,5316707344,GIA,ROUND,1.01,J,SI2,EX,EX,EX,NONE,-27.9,6.49*6.51*3.97,61.1,55,https://s3.amazonaws.com/elanstars/index.html?d=PPS-I01-B,,
HD-1,341807624,IGI,ROUND,3.01,L,SI1,EX,EX,EX,SLIGHT,-35,9.17-9.26*5.76,62.5,59,https://s3.amazonaws.com/elanstars/index.html?d=HD-1,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
